len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
8061	3905	0.023948497854077253	0.015625	0.03125	0.0078125	0.02819018302872259	4537.0	4155.999999999999	145.02037270318405	486.3209143683461	4155.999999999999	94.22047244094489	492.3067307692308	4155.999999999999	189.93650793650795	481.1496212121212	4155.999999999999	46.92549019607843	498.01501937984494	4155.999999999999	171.07315686247452	483.30779816507015
2619	2579	0.0	0.0	0.0	0.0078125	-0.0035378396708221705	1348.0	40.00000000000005	0.0	163.6875	40.00000000000005	0.0	163.6875	40.00000000000005	0.0	163.6875	40.00000000000005	20.384313725490195	161.16908914728683	40.00000000000005	-9.178609080802305	164.84093633588523
4169	5774	0.0	0.0	0.0	0.0078125	0.0017262367215392675	2958.0	1605.0	0.0	360.875	1605.0	0.0	360.875	1605.0	0.0	360.875	1605.0	38.9921568627451	356.05765503875966	1605.0	8.58939952957443	359.80410039358406
5075	12098	0.0	0.0	0.0	0.0078125	0.0015269678507307967	7546.0	7023.0	0.0	756.125	7023.0	0.0	756.125	7023.0	0.0	756.125	7023.0	67.34509803921569	747.8047480620155	7023.0	13.121327372828597	754.4885850716984
21117	1857	0.0	0.0	0.0	0.0078125	0.0009489773776808371	19260.0	19260.0	0.0	1319.8125	19260.0	0.0	1319.8125	19260.0	0.0	1319.8125	19260.0	90.09411764705882	1308.6816860465117	19260.0	10.906077948045734	1318.4511789706833
1799	14861	0.0	0.0	0.0	0.0078125	0.0027889917141810964	13062.0	13062.0	0.0	928.8125	13062.0	0.0	928.8125	13062.0	0.0	928.8125	13062.0	65.33333333333333	920.7407945736434	13062.0	23.264743567649894	925.9165391883174
2689	8100	0.0	0.0	0.0	0.0078125	0.0019131829384091159	5502.0	5411.0	0.0	506.25	5411.0	0.0	506.25	5411.0	0.0	506.25	5411.0	42.30980392156863	501.02277131782944	5411.0	10.330547474834617	504.96238028191976
6775	7264	0.0	0.0	0.0	0.0078125	-0.00016209725129275027	3718.0	489.0000000000001	0.0	454.0	489.0000000000001	0.0	454.0	489.0000000000001	0.0	454.0	489.0000000000001	55.05490196078431	447.1981589147287	489.0000000000001	-1.1377494424208223	454.1422532657946
1649	13632	0.0	0.0	0.0	0.0078125	0.0011388019233333953	11983.0	11983.0	0.0	852.0	11983.0	0.0	852.0	11983.0	0.0	852.0	11983.0	59.925490196078435	844.5964147286821	11983.0	8.70597328478941	850.9136101709232
3475	21349	0.0	0.0	0.0	0.0078125	0.0008181619712170085	17874.0	17874.0	0.0	1334.3125	17874.0	0.0	1334.3125	17874.0	0.0	1334.3125	17874.0	97.34901960784313	1322.2853682170542	17874.0	10.159182315059931	1333.0441594096942
20787	8659	0.0	0.0	0.0	0.0078125	-0.00011468722624917557	12945.0	12128.000000000002	0.0	1299.1875	12128.000000000002	0.0	1299.1875	12128.000000000002	0.0	1299.1875	12128.000000000002	115.47450980392156	1284.921027131783	12128.000000000002	-1.6884432106323586	1299.3985917135315
11616	20934	0.0	0.0	0.0	0.0078125	-0.0020369497581316487	11537.0	9318.0	0.0	1308.375	9318.0	0.0	1308.375	9318.0	0.0	1308.375	9318.0	127.64705882352943	1292.6046511627908	9318.0	-33.11762784158169	1312.527377849255
11443	10452	0.0	0.0	0.0	0.0078125	0.000716970119880548	5853.0	990.9999999999997	0.0	715.1875	990.9999999999997	0.0	715.1875	990.9999999999997	0.0	715.1875	990.9999999999997	85.86274509803923	704.5794573643411	990.9999999999997	7.851845156573896	714.2070741376241
9544	1250	0.0	0.0	0.0	0.0078125	-0.00011217864555111243	8294.0	8294.0	0.0	596.5	8294.0	0.0	596.5	8294.0	0.0	596.5	8294.0	42.32941176470588	591.2703488372093	8294.0	-0.6053941938890063	596.575687009221
6570	8116	0.0	0.0	0.0	0.0078125	0.0015763853381141509	4052.0	1545.9999999999998	0.0	507.25	1545.9999999999998	0.0	507.25	1545.9999999999998	0.0	507.25	1545.9999999999998	57.59215686274509	500.1346899224806	1545.9999999999998	11.584528378114321	505.8053526287133
6469	3381	0.0	0.0	0.0	0.0078125	-8.776218478667083e-05	3690.0	3088.0000000000005	0.0	404.3125	3088.0000000000005	0.0	404.3125	3088.0000000000005	0.0	404.3125	3088.0000000000005	38.627450980392155	399.54021317829455	3088.0000000000005	-0.4322097942364396	404.366533337093
2750	11830	0.0001378169790518192	0.0	0.0	0.0078125	0.0031808334181508053	9080.0	9080.0	1.0047550134380816	739.2494315832989	9080.0	0.0	739.375	9080.0	0.0	739.375	9080.0	57.17647058823529	732.3110465116279	9080.0	23.225213385759925	736.4856560694408
6889	20455	0.0	0.0	0.0	0.0078125	-0.00038102665795404587	13853.0	13565.999999999998	0.0	1278.4375	13565.999999999998	0.0	1278.4375	13565.999999999998	0.0	1278.4375	13565.999999999998	107.23137254901961	1265.1894379844962	13565.999999999998	-5.208404197125463	1279.0889227678838
10286	3889	0.0	0.0	0.0	0.0078125	-0.0014632256809594445	6654.0	6397.0	0.0	642.875	6397.0	0.0	642.875	6397.0	0.0	642.875	6397.0	55.588235294117645	636.0072674418604	6397.0	-10.363030287775244	644.1732260994935
20857	12740	0.0	0.0	0.0	0.0078125	-0.002357249529880557	11075.0	8117.000000000001	0.0	1303.5625	8117.000000000001	0.0	1303.5625	8117.000000000001	0.0	1303.5625	8117.000000000001	131.75294117647059	1287.2848837209303	8117.000000000001	-39.551639685671006	1308.5239774688935
23276	7760	3.328783995206551e-05	0.0	0.0	0.0078125	-0.00085469859395562	16795.0	15515.999999999998	0.5165692981142125	1454.6854320617801	15515.999999999998	0.0	1454.75	15515.999999999998	0.0	1454.75	15515.999999999998	121.70980392156864	1439.7131782945737	15515.999999999998	-13.257547177537342	1456.409319815939
709	9648	0.0	0.0	0.0	0.0078125	0.0005179057051451145	8939.0	8939.0	0.0	603.0	8939.0	0.0	603.0	8939.0	0.0	603.0	8939.0	40.615686274509805	597.9820736434109	8939.0	2.6826693789821725	602.664926699612
2183	15311	0.0	0.0	0.0	0.0078125	-1.4928963325439522e-06	13128.0	13127.999999999998	0.0	956.9375	13127.999999999998	0.0	956.9375	13127.999999999998	0.0	956.9375	13127.999999999998	68.60392156862746	948.4617248062016	13127.999999999998	-0.013058354473377201	956.9391322979644
13415	1596	6.67779632721202e-05	0.0	0.0	0.0078125	0.0028999122780641517	11819.0	11819.0	0.5012187385221544	838.3748539329595	11819.0	0.0	838.4375	11819.0	0.0	838.4375	11819.0	58.866666666666674	831.1647286821706	11819.0	21.796896146389795	835.7247054159458
10200	15385	0.0	0.0	0.0	0.0078125	-0.0008677470869110853	7940.0	5185.0	0.0	961.5625	5185.0	0.0	961.5625	5185.0	0.0	961.5625	5185.0	100.33333333333334	949.1666666666666	5185.0	-11.095840417710411	962.951286941987
